workspace_id,doctor_id,name,actual_id,gender,experience,speciality_id,speciality_name,speciality_alias,is_active,profile_url,profile_pic,languages,hospitals
78323888282175,174980909280938,Indrani C E,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/b407b3e7-23ee-43ff-8231-f7c3d192fe26.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980908993089,Akhila Nagaraj,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,https://doctoronboarding.eka.care/de71485e-bf3c-4644-bfff-9345436e4f47.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980906850845,Vedarth Dash,,,,10,Pediatric Surgery & Urology,"Pediatric Surgeon, Pediatric Urologist, Paediatric Surgery",Yes,,https://doctoronboarding.eka.care/6efbc864-562e-49d8-9823-d5b531e2449e.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,175517717310915,Chandana A,,,,14,Reproductive Medicine,"IVF, Fertility, ART, IUI, Infertility Treatment",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,175689781895876,Monish Raj M,,,,9,Paediatrics Sub-Speciality,"Paediatric Subspecialty, Pediatric Subspecialty",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,175999887179923,Reeth Sahana,,,,2,Fetal Medicine,"Maternal-Fetal Medicine, MFM, Perinatology, Feto-maternal",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,175612224409795,Pooja Wali,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,do1767778319919,Kiran Araballi R,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,do1764927568705,Hemanth Balakrishnan,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,176060587091492,Vempalli Reddisai Raju,,,,13,Radiology,"Imaging, Diagnostic Radiology, X-Ray, Ultrasound, Scan",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
